iter	Passed	Remaining
247	103820	314810
248	104238	314389
249	104653	313961
250	105063	313516
251	105476	313079
252	105878	312613
253	106284	312159
254	106699	311730
255	107093	311239
256	107505	310804
257	107922	310382
258	108347	309982
259	108766	309567
260	109192	309168
261	109599	308718
262	110018	308302
263	110443	307902
264	110861	307482
265	111239	306953
266	111706	306669
267	112114	306223
268	112512	305749
269	112888	305216
270	113283	304738
271	113681	304265
272	114085	303811
273	114474	303314
274	114864	302825
275	115276	302392
276	115684	301948
277	116088	301495
278	116528	301135
279	116949	300726
280	117362	300298
281	117769	299852
282	118157	299361
283	118575	298944
284	118999	298542
285	119407	298100
286	119814	297657
287	120202	297167
288	120607	296718
289	121002	296247
290	121403	295790
291	121775	295264
292	122171	294797
293	122573	294342
294	122974	293888
295	123349	293372
296	123789	293009
297	124206	292593
298	124632	292199
299	125017	291708
300	125428	291276
301	125834	290835
302	126245	290407
303	126666	290000
304	127057	289523
305	127471	289102
306	127877	288661
307	128291	288238
308	128698	287801
309	129093	287336
310	129555	287021
311	129958	286575
312	130347	286098
313	130719	285585
314	131156	285213
315	131596	284848
316	132005	284416
317	132378	283905
318	132790	283480
319	133193	283036
320	133608	282616
321	134011	282173
322	134405	281710
323	134819	281290
324	135227	280857
325	135646	280447
326	136024	279952
327	136420	279495
328	136810	279027
329	137201	278561
330	137587	278084
331	137989	277641
332	138422	277260
333	138831	276832
334	139234	276390
335	139606	275888
336	140007	275444
337	140394	274974
338	140786	274513
339	141165	274027
340	141566	273584
341	141963	273134
342	142355	272675
343	142743	272207
344	143157	271792
345	143548	271331
346	144003	270992
347	144390	270525
348	144795	270090
349	145193	269644
350	145615	269242
351	145998	268769
352	146393	268318
353	146797	267885
354	147184	267420
355	147579	266970
356	147977	266526
357	148385	266099
358	148776	265642
359	149153	265162
360	149560	264734
361	149953	264282
362	150350	263838
363	150730	263363
364	151131	262928
365	151545	262513
366	151942	262069
367	152325	261601
368	152731	261174
369	153182	260823
370	153604	260423
371	154015	260005
372	154421	259576
373	154828	259151
374	155218	258696
375	155631	258281
376	156007	257805
377	156421	257391
378	156825	256961
379	157221	256518
380	157595	256041
381	158053	255699
382	158441	255243
383	158843	254811
384	159214	254329
385	159609	253886
386	159992	253425
387	160376	252965
388	160788	252549
389	161195	252126
390	161592	251687
391	162003	251270
392	162395	250825
393	162799	250396
394	163214	249987
395	163613	249552
396	164014	249120
397	164427	248707
