iter	Passed	Remaining
754	19316	31852
755	19339	31822
756	19362	31793
757	19387	31766
758	19415	31745
759	19443	31723
760	19472	31704
761	19500	31681
762	19524	31653
763	19548	31625
764	19579	31608
765	19604	31581
766	19629	31555
767	19657	31533
768	19682	31506
769	19707	31481
770	19734	31457
771	19760	31432
772	19786	31408
773	19812	31382
774	19839	31359
775	19866	31335
776	19892	31311
777	19915	31281
778	19939	31253
779	19967	31231
780	19993	31206
781	20016	31176
782	20040	31147
783	20063	31119
784	20086	31089
785	20112	31064
786	20141	31043
787	20164	31014
788	20187	30985
789	20211	30956
790	20235	30929
791	20259	30901
792	20287	30878
793	20314	30854
794	20338	30827
795	20361	30798
796	20385	30770
797	20410	30744
798	20434	30715
799	20457	30686
800	20483	30661
801	20508	30635
802	20532	30607
803	20558	30581
804	20583	30555
805	20610	30532
806	20633	30502
807	20663	30483
808	20688	30458
809	20713	30431
810	20739	30406
811	20762	30376
812	20788	30351
813	20812	30324
814	20838	30298
815	20864	30273
816	20887	30244
817	20910	30215
818	20935	30189
819	20963	30166
820	20986	30138
821	21014	30116
822	21042	30093
823	21066	30065
824	21093	30042
825	21117	30015
826	21141	29987
827	21167	29961
828	21195	29939
829	21220	29913
830	21244	29885
831	21270	29860
832	21294	29832
833	21322	29810
834	21349	29787
835	21376	29762
836	21401	29737
837	21429	29714
838	21453	29686
839	21476	29657
840	21503	29634
841	21527	29606
842	21551	29579
843	21577	29553
844	21602	29527
845	21625	29499
846	21648	29469
847	21674	29444
848	21697	29416
849	21724	29392
850	21751	29368
851	21777	29343
852	21804	29320
853	21832	29296
854	21861	29275
855	21884	29247
856	21914	29227
857	21938	29200
858	21964	29175
859	21989	29148
860	22016	29125
861	22042	29100
862	22069	29076
863	22093	29048
864	22117	29021
865	22140	28992
866	22164	28964
867	22188	28937
868	22212	28908
869	22234	28879
870	22264	28859
871	22289	28832
872	22312	28803
873	22335	28775
874	22358	28746
875	22381	28717
876	22411	28698
877	22435	28670
878	22461	28645
879	22484	28616
880	22508	28589
881	22537	28567
882	22560	28539
883	22583	28510
884	22610	28486
885	22632	28456
886	22659	28432
887	22686	28409
888	22708	28379
889	22734	28354
890	22757	28326
891	22781	28298
892	22810	28277
893	22836	28251
894	22861	28225
895	22884	28196
896	22908	28169
897	22932	28141
898	22955	28113
899	22982	28089
900	23005	28061
901	23028	28032
902	23051	28004
903	23075	27977
904	23101	27951
905	23123	27921
906	23146	27893
907	23170	27865
908	23192	27836
909	23216	27808
910	23243	27784
911	23267	27758
912	23291	27730
913	23314	27702
914	23343	27680
915	23373	27660
916	23398	27634
917	23422	27607
918	23445	27578
919	23468	27550
920	23491	27521
921	23515	27494
922	23539	27467
923	23563	27439
924	23585	27410
925	23610	27383
926	23633	27355
927	23660	27331
928	23684	27304
929	23709	27278
930	23732	27250
931	23756	27223
932	23780	27196
933	23804	27169
934	23828	27141
935	23852	27114
936	23876	27086
937	23901	27061
938	23925	27033
939	23948	27005
940	23972	26978
941	23998	26953
942	24021	26925
943	24044	26896
944	24068	26869
945	24093	26843
946	24120	26820
947	24146	26795
948	24169	26767
949	24193	26740
950	24216	26711
951	24239	26683
952	24264	26657
953	24291	26634
954	24316	26607
955	24339	26579
956	24361	26551
957	24388	26526
958	24411	26498
959	24433	26469
960	24459	26444
961	24482	26417
962	24505	26388
963	24530	26362
964	24552	26333
965	24578	26308
966	24601	26280
967	24624	26252
968	24647	26224
969	24673	26199
970	24696	26171
971	24721	26145
972	24744	26117
973	24768	26090
974	24791	26062
975	24814	26034
976	24837	26006
977	24859	25978
978	24889	25957
979	24914	25931
980	24938	25904
981	24962	25877
982	24990	25854
983	25015	25828
984	25041	25804
985	25065	25777
986	25093	25754
987	25125	25735
988	25147	25707
989	25175	25683
990	25198	25656
991	25224	25631
992	25248	25604
993	25272	25577
994	25299	25554
995	25324	25528
996	25347	25500
997	25370	25471
998	25393	25444
999	25416	25416
1000	25439	25388
1001	25463	25361
1002	25488	25336
1003	25511	25308
1004	25534	25280
1005	25559	25254
1006	25584	25229
1007	25608	25201
1008	25632	25175
1009	25655	25147
1010	25681	25123
1011	25705	25096
1012	25728	25068
1013	25752	25041
1014	25775	25013
1015	25799	24986
1016	25826	24963
1017	25850	24935
1018	25873	24908
1019	25898	24882
1020	25924	24857
1021	25947	24829
1022	25971	24803
1023	25995	24777
1024	26019	24750
1025	26042	24722
1026	26064	24694
1027	26087	24666
1028	26111	24639
1029	26139	24616
1030	26161	24588
1031	26186	24562
1032	26209	24534
1033	26235	24510
1034	26262	24486
1035	26284	24458
1036	26308	24431
1037	26331	24403
1038	26356	24377
1039	26382	24352
1040	26408	24328
1041	26434	24303
1042	26461	24279
1043	26487	24254
1044	26510	24227
1045	26537	24203
1046	26561	24177
1047	26585	24150
1048	26611	24125
1049	26635	24098
1050	26665	24077
1051	26689	24050
1052	26712	24023
1053	26738	23998
1054	26767	23976
1055	26795	23953
1056	26820	23928
1057	26845	23902
1058	26870	23876
1059	26894	23850
1060	26917	23822
1061	26944	23798
1062	26967	23771
1063	26996	23749
1064	27021	23723
1065	27048	23699
1066	27072	23672
1067	27097	23646
1068	27121	23619
1069	27152	23599
1070	27177	23574
1071	27207	23552
1072	27233	23527
1073	27257	23501
1074	27289	23481
1075	27314	23455
1076	27339	23430
1077	27366	23406
1078	27393	23382
1079	27417	23355
1080	27443	23330
1081	27471	23307
1082	27500	23285
1083	27524	23258
1084	27547	23231
1085	27571	23204
1086	27598	23180
1087	27622	23153
1088	27647	23128
1089	27678	23108
1090	27705	23084
1091	27734	23061
1092	27759	23035
1093	27782	23008
1094	27806	22981
1095	27832	22956
1096	27857	22931
1097	27885	22907
1098	27910	22882
1099	27934	22855
1100	27959	22829
1101	27984	22804
1102	28011	22779
1103	28039	22756
1104	28065	22731
1105	28093	22708
1106	28117	22681
1107	28140	22654
1108	28164	22628
1109	28188	22601
1110	28210	22573
1111	28236	22548
1112	28262	22523
1113	28286	22496
1114	28310	22470
1115	28341	22449
1116	28365	22423
1117	28389	22396
1118	28417	22373
1119	28440	22346
1120	28464	22319
1121	28489	22293
1122	28517	22270
1123	28541	22243
1124	28566	22218
1125	28592	22193
1126	28619	22169
1127	28645	22144
1128	28671	22119
1129	28702	22098
1130	28727	22072
1131	28752	22046
1132	28777	22021
1133	28801	21994
1134	28830	21972
1135	28855	21946
1136	28883	21922
1137	28908	21897
1138	28937	21874
1139	28961	21848
1140	28985	21821
1141	29010	21795
1142	29033	21768
1143	29057	21742
1144	29080	21715
1145	29104	21688
1146	29130	21663
1147	29153	21636
1148	29176	21609
1149	29200	21583
1150	29224	21556
1151	29249	21530
1152	29273	21504
1153	29300	21480
1154	29327	21455
1155	29352	21430
1156	29377	21404
1157	29403	21380
1158	29430	21355
1159	29456	21330
